id,age,gender,sampling_frame,sample_size,test_item,response,exp_num
4,18,male,category,20,4,3,1
4,18,male,category,20,5,2.5,1
4,18,male,category,20,6,2.5,1
4,18,male,property,2,1,3,1
4,18,male,property,2,2,0.5,1
4,18,male,property,2,3,0.5,1
4,18,male,property,2,4,0,1
4,18,male,property,2,5,0,1
4,18,male,property,2,6,0,1
4,18,male,property,8,1,5.5,1
4,18,male,property,8,2,3,1
4,18,male,property,8,3,0.5,1
4,18,male,property,8,4,0,1
4,18,male,property,8,5,0,1
4,18,male,property,8,6,0,1
4,18,male,property,20,1,7.5,1
4,18,male,property,20,2,4.5,1
4,18,male,property,20,3,1.5,1
4,18,male,property,20,4,0,1
4,18,male,property,20,5,0,1
4,18,male,property,20,6,0,1
6,20,female,category,2,1,3,1
6,20,female,category,2,2,1.5,1
6,20,female,category,2,3,2,1
6,20,female,category,2,4,1.5,1
6,20,female,category,2,5,1.5,1
6,20,female,category,2,6,0,1
6,20,female,category,8,1,4.5,1
6,20,female,category,8,2,2.5,1
6,20,female,category,8,3,2.5,1
6,20,female,category,8,4,2,1
6,20,female,category,8,5,0.5,1
6,20,female,category,8,6,1,1
6,20,female,category,20,1,7.5,1
6,20,female,category,20,2,4,1
6,20,female,category,20,3,4,1
6,20,female,category,20,4,4,1
6,20,female,category,20,5,1,1
6,20,female,category,20,6,1,1
6,20,female,property,2,1,2,1
6,20,female,property,2,2,0,1
6,20,female,property,2,3,0,1
6,20,female,property,2,4,0,1
6,20,female,property,2,5,0.5,1
6,20,female,property,2,6,0,1
6,20,female,property,8,1,4,1
6,20,female,property,8,2,3,1
6,20,female,property,8,3,0,1
6,20,female,property,8,4,0,1
6,20,female,property,8,5,0,1
6,20,female,property,8,6,0,1
6,20,female,property,20,1,6.5,1
6,20,female,property,20,2,5.5,1
6,20,female,property,20,3,0,1
6,20,female,property,20,4,0,1
6,20,female,property,20,5,0,1
6,20,female,property,20,6,0,1
7,19,female,category,2,1,5.5,1
7,19,female,category,2,2,3,1
7,19,female,category,2,3,3,1
7,19,female,category,2,4,3.5,1
7,19,female,category,2,5,3,1
7,19,female,category,2,6,3,1
7,19,female,category,8,1,9.5,1
7,19,female,category,8,2,7,1
7,19,female,category,8,3,6,1
7,19,female,category,8,4,5.5,1
7,19,female,category,8,5,5.5,1
7,19,female,category,8,6,5,1
7,19,female,category,20,1,10,1
7,19,female,category,20,2,10,1
7,19,female,category,20,3,6.5,1
7,19,female,category,20,4,10,1
7,19,female,category,20,5,6.5,1
7,19,female,category,20,6,5,1
7,19,female,property,2,1,9.5,1
7,19,female,property,2,2,6.5,1
7,19,female,property,2,3,3,1
7,19,female,property,2,4,3,1
7,19,female,property,2,5,3,1
7,19,female,property,2,6,3,1
7,19,female,property,8,1,10,1
7,19,female,property,8,2,5.5,1
7,19,female,property,8,3,1,1
7,19,female,property,8,4,1,1
7,19,female,property,8,5,0.5,1
7,19,female,property,8,6,0.5,1
7,19,female,property,20,1,5,1
7,19,female,property,20,2,5,1
7,19,female,property,20,3,0,1
7,19,female,property,20,4,0,1
7,19,female,property,20,5,0,1
7,19,female,property,20,6,0,1
8,19,male,category,2,1,6.5,1
8,19,male,category,2,2,5,1
8,19,male,category,2,3,3.5,1
8,19,male,category,2,4,2,1
8,19,male,category,2,5,1,1
8,19,male,category,2,6,0.5,1
8,19,male,category,8,1,8.5,1
8,19,male,category,8,2,6,1
8,19,male,category,8,3,2,1
8,19,male,category,8,4,0.5,1
8,19,male,category,8,5,0,1
8,19,male,category,8,6,0,1
8,19,male,category,20,1,7,1
8,19,male,category,20,2,5,1
8,19,male,category,20,3,0,1
8,19,male,category,20,4,0,1
8,19,male,category,20,5,0,1
8,19,male,category,20,6,0,1
8,19,male,property,2,1,6,1
8,19,male,property,2,2,5,1
8,19,male,property,2,3,1.5,1
8,19,male,property,2,4,1,1
8,19,male,property,2,5,0.5,1
8,19,male,property,2,6,0.5,1
8,19,male,property,8,1,6.5,1
8,19,male,property,8,2,4.5,1
8,19,male,property,8,3,1.5,1
8,19,male,property,8,4,0.5,1
8,19,male,property,8,5,0,1
8,19,male,property,8,6,0,1
8,19,male,property,20,1,5.5,1
8,19,male,property,20,2,4,1
8,19,male,property,20,3,0,1
8,19,male,property,20,4,0,1
8,19,male,property,20,5,0,1
8,19,male,property,20,6,0,1
9,18,male,category,2,1,4,1
9,18,male,category,2,2,1,1
9,18,male,category,2,3,0.5,1
9,18,male,category,2,4,0,1
9,18,male,category,2,5,0,1
9,18,male,category,2,6,0,1
9,18,male,category,8,1,5.5,1
9,18,male,category,8,2,10,1
9,18,male,category,8,3,0,1
9,18,male,category,8,4,0,1
9,18,male,category,8,5,0,1
9,18,male,category,8,6,0,1
9,18,male,category,20,1,5,1
9,18,male,category,20,2,10,1
9,18,male,category,20,3,0,1
9,18,male,category,20,4,0,1
9,18,male,category,20,5,0,1
9,18,male,category,20,6,0,1
9,18,male,property,2,1,7,1
9,18,male,property,2,2,3,1
9,18,male,property,2,3,0.5,1
9,18,male,property,2,4,0,1
9,18,male,property,2,5,0,1
9,18,male,property,2,6,0,1
9,18,male,property,8,1,7.5,1
9,18,male,property,8,2,3.5,1
9,18,male,property,8,3,0.5,1
9,18,male,property,8,4,0,1
9,18,male,property,8,5,0,1
9,18,male,property,8,6,0,1
9,18,male,property,20,1,9,1
9,18,male,property,20,2,3.5,1
9,18,male,property,20,3,0,1
9,18,male,property,20,4,0,1
9,18,male,property,20,5,0,1
9,18,male,property,20,6,0,1
10,20,male,category,2,1,3,1
10,20,male,category,2,2,3,1
10,20,male,category,2,3,3,1
10,20,male,category,2,4,3,1
10,20,male,category,2,5,2,1
10,20,male,category,2,6,2.5,1
10,20,male,category,8,1,7,1
10,20,male,category,8,2,7,1
10,20,male,category,8,3,4.5,1
10,20,male,category,8,4,4,1
10,20,male,category,8,5,3.5,1
10,20,male,category,8,6,3.5,1
10,20,male,category,20,1,9.5,1
10,20,male,category,20,2,8.5,1
10,20,male,category,20,3,6,1
10,20,male,category,20,4,6,1
10,20,male,category,20,5,6.5,1
10,20,male,category,20,6,4.5,1
10,20,male,property,2,1,6,1
10,20,male,property,2,2,8,1
10,20,male,property,2,3,4.5,1
10,20,male,property,2,4,3,1
10,20,male,property,2,5,3,1
10,20,male,property,2,6,2.5,1
10,20,male,property,8,1,6,1
10,20,male,property,8,2,9,1
10,20,male,property,8,3,4,1
10,20,male,property,8,4,2,1
10,20,male,property,8,5,2,1
10,20,male,property,8,6,2,1
10,20,male,property,20,1,8,1
10,20,male,property,20,2,8,1
10,20,male,property,20,3,3.5,1
10,20,male,property,20,4,2.5,1
10,20,male,property,20,5,1.5,1
10,20,male,property,20,6,2,1
11,20,male,category,2,1,5,1
11,20,male,category,2,2,5,1
11,20,male,category,2,3,5,1
11,20,male,category,2,4,5,1
11,20,male,category,2,5,2.5,1
11,20,male,category,2,6,2.5,1
11,20,male,category,8,1,5,1
11,20,male,category,8,2,5,1
11,20,male,category,8,3,5,1
11,20,male,category,8,4,5,1
11,20,male,category,8,5,2.5,1
11,20,male,category,8,6,2.5,1
11,20,male,category,20,1,5,1
11,20,male,category,20,2,5,1
11,20,male,category,20,3,5,1
11,20,male,category,20,4,5,1
11,20,male,category,20,5,2.5,1
11,20,male,category,20,6,2.5,1
11,20,male,property,2,1,5,1
11,20,male,property,2,2,5,1
11,20,male,property,2,3,5,1
11,20,male,property,2,4,5,1
11,20,male,property,2,5,5,1
11,20,male,property,2,6,5,1
11,20,male,property,8,1,5,1
11,20,male,property,8,2,5,1
11,20,male,property,8,3,5,1
11,20,male,property,8,4,5,1
11,20,male,property,8,5,5,1
11,20,male,property,8,6,5,1
11,20,male,property,20,1,5,1
11,20,male,property,20,2,5,1
11,20,male,property,20,3,5,1
11,20,male,property,20,4,5,1
11,20,male,property,20,5,5,1
11,20,male,property,20,6,5,1
12,20,male,category,2,1,0,1
12,20,male,category,2,2,0,1
12,20,male,category,2,3,0,1
12,20,male,category,2,4,0,1
12,20,male,category,2,5,0,1
12,20,male,category,2,6,0,1
12,20,male,category,8,1,0,1
12,20,male,category,8,2,0,1
12,20,male,category,8,3,0,1
12,20,male,category,8,4,0,1
12,20,male,category,8,5,0,1
12,20,male,category,8,6,0,1
12,20,male,category,20,1,0,1
12,20,male,category,20,2,0,1
12,20,male,category,20,3,0,1
12,20,male,category,20,4,0,1
12,20,male,category,20,5,0,1
12,20,male,category,20,6,0,1
12,20,male,property,2,1,0,1
12,20,male,property,2,2,0,1
12,20,male,property,2,3,0,1
12,20,male,property,2,4,0,1
12,20,male,property,2,5,0,1
12,20,male,property,2,6,0,1
12,20,male,property,8,1,0,1
12,20,male,property,8,2,0,1
12,20,male,property,8,3,0,1
12,20,male,property,8,4,0,1
12,20,male,property,8,5,0,1
12,20,male,property,8,6,0,1
12,20,male,property,20,1,0,1
12,20,male,property,20,2,0,1
12,20,male,property,20,3,0,1
12,20,male,property,20,4,0,1
12,20,male,property,20,5,0,1
12,20,male,property,20,6,0,1
13,25,female,category,2,1,1.5,1
13,25,female,category,2,2,2.5,1
13,25,female,category,2,3,1.5,1
13,25,female,category,2,4,1,1
13,25,female,category,2,5,1,1
13,25,female,category,2,6,1.5,1
13,25,female,category,8,1,5,1
13,25,female,category,8,2,10,1
13,25,female,category,8,3,5,1
13,25,female,category,8,4,5,1
13,25,female,category,8,5,5,1
13,25,female,category,8,6,5,1
13,25,female,category,20,1,5,1
13,25,female,category,20,2,10,1
13,25,female,category,20,3,0,1
13,25,female,category,20,4,0,1
13,25,female,category,20,5,0,1
13,25,female,category,20,6,0,1
13,25,female,property,2,1,0,1
13,25,female,property,2,2,0,1
13,25,female,property,2,3,0,1
13,25,female,property,2,4,0,1
13,25,female,property,2,5,0,1
13,25,female,property,2,6,0,1
13,25,female,property,8,1,5,1
13,25,female,property,8,2,0,1
13,25,female,property,8,3,0,1
13,25,female,property,8,4,0,1
13,25,female,property,8,5,0,1
13,25,female,property,8,6,0,1
13,25,female,property,20,1,10,1
13,25,female,property,20,2,0,1
13,25,female,property,20,3,0,1
13,25,female,property,20,4,0,1
13,25,female,property,20,5,0,1
13,25,female,property,20,6,0,1
14,18,female,category,2,1,6.5,1
14,18,female,category,2,2,4.5,1
14,18,female,category,2,3,5,1
14,18,female,category,2,4,5,1
14,18,female,category,2,5,5,1
14,18,female,category,2,6,5,1
14,18,female,category,8,1,8,1
14,18,female,category,8,2,8,1
14,18,female,category,8,3,7,1
14,18,female,category,8,4,6,1
14,18,female,category,8,5,5.5,1
14,18,female,category,8,6,4.5,1
14,18,female,category,20,1,9,1
14,18,female,category,20,2,8.5,1
14,18,female,category,20,3,7.5,1
14,18,female,category,20,4,7,1
14,18,female,category,20,5,6.5,1
14,18,female,category,20,6,6,1
14,18,female,property,2,1,5,1
14,18,female,property,2,2,5,1
14,18,female,property,2,3,5,1
14,18,female,property,2,4,5,1
14,18,female,property,2,5,5,1
14,18,female,property,2,6,5,1
14,18,female,property,8,1,7.5,1
14,18,female,property,8,2,2.5,1
14,18,female,property,8,3,4.5,1
14,18,female,property,8,4,3.5,1
14,18,female,property,8,5,1.5,1
14,18,female,property,8,6,3,1
14,18,female,property,20,1,9,1
14,18,female,property,20,2,3.5,1
14,18,female,property,20,3,4,1
14,18,female,property,20,4,3,1
14,18,female,property,20,5,1.5,1
14,18,female,property,20,6,1.5,1
15,18,female,category,2,1,6.5,1
15,18,female,category,2,2,7.5,1
15,18,female,category,2,3,1,1
15,18,female,category,2,4,0,1
15,18,female,category,2,5,0,1
15,18,female,category,2,6,0,1
15,18,female,category,8,1,8,1
15,18,female,category,8,2,9,1
15,18,female,category,8,3,3.5,1
15,18,female,category,8,4,3.5,1
15,18,female,category,8,5,3.5,1
15,18,female,category,8,6,3.5,1
15,18,female,category,20,1,8.5,1
15,18,female,category,20,2,10,1
15,18,female,category,20,3,6.5,1
15,18,female,category,20,4,3.5,1
15,18,female,category,20,5,3.5,1
15,18,female,category,20,6,3.5,1
15,18,female,property,2,1,9,1
15,18,female,property,2,2,4,1
15,18,female,property,2,3,4.5,1
15,18,female,property,2,4,3.5,1
15,18,female,property,2,5,0,1
15,18,female,property,2,6,0,1
15,18,female,property,8,1,8.5,1
15,18,female,property,8,2,6.5,1
15,18,female,property,8,3,4,1
15,18,female,property,8,4,3.5,1
15,18,female,property,8,5,0,1
15,18,female,property,8,6,0,1
15,18,female,property,20,1,9.5,1
15,18,female,property,20,2,6.5,1
15,18,female,property,20,3,3.5,1
15,18,female,property,20,4,3.5,1
15,18,female,property,20,5,0,1
15,18,female,property,20,6,0,1
16,21,female,category,2,1,5,1
16,21,female,category,2,2,7,1
16,21,female,category,2,3,3.5,1
16,21,female,category,2,4,3,1
16,21,female,category,2,5,1.5,1
16,21,female,category,2,6,1,1
16,21,female,category,8,1,9.5,1
16,21,female,category,8,2,8,1
16,21,female,category,8,3,4.5,1
16,21,female,category,8,4,3.5,1
16,21,female,category,8,5,2,1
16,21,female,category,8,6,2,1
16,21,female,category,20,1,10,1
16,21,female,category,20,2,8.5,1
16,21,female,category,20,3,6.5,1
16,21,female,category,20,4,5.5,1
16,21,female,category,20,5,3,1
16,21,female,category,20,6,3,1
16,21,female,property,2,1,8,1
16,21,female,property,2,2,8.5,1
16,21,female,property,2,3,5.5,1
16,21,female,property,2,4,3.5,1
16,21,female,property,2,5,5.5,1
16,21,female,property,2,6,5.5,1
16,21,female,property,8,1,9.5,1
16,21,female,property,8,2,9,1
16,21,female,property,8,3,5.5,1
16,21,female,property,8,4,5.5,1
16,21,female,property,8,5,5.5,1
16,21,female,property,8,6,5.5,1
16,21,female,property,20,1,10,1
16,21,female,property,20,2,10,1
16,21,female,property,20,3,5,1
16,21,female,property,20,4,5,1
16,21,female,property,20,5,5,1
16,21,female,property,20,6,5,1
17,18,female,category,2,1,6.5,1
17,18,female,category,2,2,4.5,1
17,18,female,category,2,3,2.5,1
17,18,female,category,2,4,1,1
17,18,female,category,2,5,3,1
17,18,female,category,2,6,0,1
17,18,female,category,8,1,10,1
17,18,female,category,8,2,7.5,1
17,18,female,category,8,3,2.5,1
17,18,female,category,8,4,0,1
17,18,female,category,8,5,0,1
17,18,female,category,8,6,0,1
17,18,female,category,20,1,10,1
17,18,female,category,20,2,9,1
17,18,female,category,20,3,4.5,1
17,18,female,category,20,4,0,1
17,18,female,category,20,5,0.5,1
17,18,female,category,20,6,0,1
17,18,female,property,2,1,9,1
17,18,female,property,2,2,5,1
17,18,female,property,2,3,3,1
17,18,female,property,2,4,2.5,1
17,18,female,property,2,5,0,1
17,18,female,property,2,6,0,1
17,18,female,property,8,1,9,1
17,18,female,property,8,2,2.5,1
17,18,female,property,8,3,1,1
17,18,female,property,8,4,1,1
17,18,female,property,8,5,0,1
17,18,female,property,8,6,0,1
17,18,female,property,20,1,9.5,1
17,18,female,property,20,2,4.5,1
17,18,female,property,20,3,0.5,1
17,18,female,property,20,4,0,1
17,18,female,property,20,5,0,1
17,18,female,property,20,6,0,1
18,18,female,category,2,1,8,1
18,18,female,category,2,2,6.5,1
18,18,female,category,2,3,5,1
18,18,female,category,2,4,7,1
18,18,female,category,2,5,7,1
18,18,female,category,2,6,7.5,1
18,18,female,category,8,1,8,1
18,18,female,category,8,2,8,1
18,18,female,category,8,3,7.5,1
18,18,female,category,8,4,7,1
18,18,female,category,8,5,8,1
18,18,female,category,8,6,7.5,1
18,18,female,category,20,1,10,1
18,18,female,category,20,2,9,1
18,18,female,category,20,3,7,1
18,18,female,category,20,4,8.5,1
18,18,female,category,20,5,8.5,1
18,18,female,category,20,6,6.5,1
18,18,female,property,2,1,7.5,1
18,18,female,property,2,2,5.5,1
18,18,female,property,2,3,3.5,1
18,18,female,property,2,4,3,1
18,18,female,property,2,5,3,1
18,18,female,property,2,6,2.5,1
18,18,female,property,8,1,6,1
18,18,female,property,8,2,7.5,1
18,18,female,property,8,3,5,1
18,18,female,property,8,4,3.5,1
18,18,female,property,8,5,2,1
18,18,female,property,8,6,3,1
18,18,female,property,20,1,5,1
18,18,female,property,20,2,5,1
18,18,female,property,20,3,2.5,1
18,18,female,property,20,4,0,1
18,18,female,property,20,5,0,1
18,18,female,property,20,6,0,1
19,17,male,category,2,1,6.5,1
19,17,male,category,2,2,7.5,1
19,17,male,category,2,3,5,1
19,17,male,category,2,4,4.5,1
19,17,male,category,2,5,4,1
19,17,male,category,2,6,6,1
19,17,male,category,8,1,7,1
19,17,male,category,8,2,8.5,1
19,17,male,category,8,3,4,1
19,17,male,category,8,4,4.5,1
19,17,male,category,8,5,4.5,1
19,17,male,category,8,6,4,1
19,17,male,category,20,1,8,1
19,17,male,category,20,2,8.5,1
19,17,male,category,20,3,5,1
19,17,male,category,20,4,3,1
19,17,male,category,20,5,3,1
19,17,male,category,20,6,2.5,1
19,17,male,property,2,1,7,1
19,17,male,property,2,2,5.5,1
19,17,male,property,2,3,4,1
19,17,male,property,2,4,5,1
19,17,male,property,2,5,3.5,1
19,17,male,property,2,6,5,1
19,17,male,property,8,1,8.5,1
19,17,male,property,8,2,6.5,1
19,17,male,property,8,3,5,1
19,17,male,property,8,4,4,1
19,17,male,property,8,5,4.5,1
19,17,male,property,8,6,3.5,1
19,17,male,property,20,1,8.5,1
19,17,male,property,20,2,5.5,1
19,17,male,property,20,3,4,1
19,17,male,property,20,4,3.5,1
19,17,male,property,20,5,3,1
19,17,male,property,20,6,3.5,1
20,20,female,category,2,1,6.5,1
20,20,female,category,2,2,7.5,1
20,20,female,category,2,3,0,1
20,20,female,category,2,4,0,1
20,20,female,category,2,5,0,1
20,20,female,category,2,6,0,1
20,20,female,category,8,1,10,1
20,20,female,category,8,2,10,1
20,20,female,category,8,3,2,1
20,20,female,category,8,4,0,1
20,20,female,category,8,5,0,1
20,20,female,category,8,6,1,1
20,20,female,category,20,1,10,1
20,20,female,category,20,2,10,1
20,20,female,category,20,3,0,1
20,20,female,category,20,4,0,1
20,20,female,category,20,5,0,1
20,20,female,category,20,6,0,1
20,20,female,property,2,1,8,1
20,20,female,property,2,2,3.5,1
20,20,female,property,2,3,3,1
20,20,female,property,2,4,3.5,1
20,20,female,property,2,5,2,1
20,20,female,property,2,6,2.5,1
20,20,female,property,8,1,7.5,1
20,20,female,property,8,2,2.5,1
20,20,female,property,8,3,2,1
20,20,female,property,8,4,1.5,1
20,20,female,property,8,5,1.5,1
20,20,female,property,8,6,0.5,1
20,20,female,property,20,1,8,1
20,20,female,property,20,2,2.5,1
20,20,female,property,20,3,0,1
20,20,female,property,20,4,0,1
20,20,female,property,20,5,0,1
20,20,female,property,20,6,0,1
21,18,male,category,2,1,7,1
21,18,male,category,2,2,7,1
21,18,male,category,2,3,4.5,1
21,18,male,category,2,4,1.5,1
21,18,male,category,2,5,4.5,1
21,18,male,category,2,6,1,1
21,18,male,category,8,1,8,1
21,18,male,category,8,2,8,1
21,18,male,category,8,3,5,1
21,18,male,category,8,4,1.5,1
21,18,male,category,8,5,4.5,1
21,18,male,category,8,6,0.5,1
21,18,male,category,20,1,9,1
21,18,male,category,20,2,9,1
21,18,male,category,20,3,5,1
21,18,male,category,20,4,2.5,1
21,18,male,category,20,5,5,1
21,18,male,category,20,6,0.5,1
21,18,male,property,2,1,7,1
21,18,male,property,2,2,7,1
21,18,male,property,2,3,5,1
21,18,male,property,2,4,4.5,1
21,18,male,property,2,5,2.5,1
21,18,male,property,2,6,2.5,1
21,18,male,property,8,1,8,1
21,18,male,property,8,2,7.5,1
21,18,male,property,8,3,5,1
21,18,male,property,8,4,5,1
21,18,male,property,8,5,1.5,1
21,18,male,property,8,6,2,1
21,18,male,property,20,1,9,1
21,18,male,property,20,2,9,1
21,18,male,property,20,3,4.5,1
21,18,male,property,20,4,4.5,1
21,18,male,property,20,5,1,1
21,18,male,property,20,6,1,1
22,18,male,category,2,1,4.5,1
22,18,male,category,2,2,4.5,1
22,18,male,category,2,3,5,1
22,18,male,category,2,4,5.5,1
22,18,male,category,2,5,4.5,1
22,18,male,category,2,6,3,1
22,18,male,category,8,1,10,1
22,18,male,category,8,2,9,1
22,18,male,category,8,3,8.5,1
22,18,male,category,8,4,9,1
22,18,male,category,8,5,8.5,1
22,18,male,category,8,6,9,1
22,18,male,category,20,1,10,1
22,18,male,category,20,2,10,1
22,18,male,category,20,3,10,1
22,18,male,category,20,4,10,1
22,18,male,category,20,5,9.5,1
22,18,male,category,20,6,10,1
22,18,male,property,2,1,8,1
22,18,male,property,2,2,6.5,1
22,18,male,property,2,3,6.5,1
22,18,male,property,2,4,2.5,1
22,18,male,property,2,5,0,1
22,18,male,property,2,6,1,1
22,18,male,property,8,1,9,1
22,18,male,property,8,2,5.5,1
22,18,male,property,8,3,3.5,1
22,18,male,property,8,4,1,1
22,18,male,property,8,5,0,1
22,18,male,property,8,6,0,1
22,18,male,property,20,1,10,1
22,18,male,property,20,2,6,1
22,18,male,property,20,3,7.5,1
22,18,male,property,20,4,1,1
22,18,male,property,20,5,0,1
22,18,male,property,20,6,0,1
23,18,female,category,2,1,5.5,1
23,18,female,category,2,2,1,1
23,18,female,category,2,3,1.5,1
23,18,female,category,2,4,0,1
23,18,female,category,2,5,1.5,1
23,18,female,category,2,6,1,1
23,18,female,category,8,1,6.5,1
23,18,female,category,8,2,3,1
23,18,female,category,8,3,1,1
23,18,female,category,8,4,0.5,1
23,18,female,category,8,5,1.5,1
23,18,female,category,8,6,1,1
23,18,female,category,20,1,10,1
23,18,female,category,20,2,6.5,1
23,18,female,category,20,3,0.5,1
23,18,female,category,20,4,0,1
23,18,female,category,20,5,0,1
23,18,female,category,20,6,0,1
23,18,female,property,2,1,1.5,1
23,18,female,property,2,2,7.5,1
23,18,female,property,2,3,2.5,1
23,18,female,property,2,4,0,1
23,18,female,property,2,5,0,1
23,18,female,property,2,6,0,1
23,18,female,property,8,1,5,1
23,18,female,property,8,2,10,1
23,18,female,property,8,3,3,1
23,18,female,property,8,4,0,1
23,18,female,property,8,5,0,1
23,18,female,property,8,6,0,1
23,18,female,property,20,1,9.5,1
23,18,female,property,20,2,9.5,1
23,18,female,property,20,3,0,1
23,18,female,property,20,4,0,1
23,18,female,property,20,5,0,1
23,18,female,property,20,6,0,1
24,19,male,category,2,1,9.5,1
24,19,male,category,2,2,9,1
24,19,male,category,2,3,2.5,1
24,19,male,category,2,4,1,1
24,19,male,category,2,5,0.5,1
24,19,male,category,2,6,0.5,1
24,19,male,category,8,1,10,1
24,19,male,category,8,2,10,1
24,19,male,category,8,3,2,1
24,19,male,category,8,4,0.5,1
24,19,male,category,8,5,1,1
24,19,male,category,8,6,0.5,1
24,19,male,category,20,1,10,1
24,19,male,category,20,2,10,1
24,19,male,category,20,3,4,1
24,19,male,category,20,4,1,1
24,19,male,category,20,5,1,1
24,19,male,category,20,6,0.5,1
24,19,male,property,2,1,9,1
24,19,male,property,2,2,7.5,1
24,19,male,property,2,3,2.5,1
24,19,male,property,2,4,2.5,1
24,19,male,property,2,5,2.5,1
24,19,male,property,2,6,2.5,1
24,19,male,property,8,1,7.5,1
24,19,male,property,8,2,5,1
24,19,male,property,8,3,0,1
24,19,male,property,8,4,0,1
24,19,male,property,8,5,0,1
24,19,male,property,8,6,0,1
24,19,male,property,20,1,5,1
24,19,male,property,20,2,5,1
24,19,male,property,20,3,0,1
24,19,male,property,20,4,0,1
24,19,male,property,20,5,0,1
24,19,male,property,20,6,0,1
25,19,male,category,2,1,6,1
25,19,male,category,2,2,6,1
25,19,male,category,2,3,4.5,1
25,19,male,category,2,4,4,1
25,19,male,category,2,5,3.5,1
25,19,male,category,2,6,4.5,1
